Id,No_REG,event_date,Y,Season,Y-M,cod_mun,Dep,Prov,Mun,Comun,N_comun,p_afect,f_afect,Hec_agr,N_cattle,days,POBLACION,MacroRegID,MacroReg
"386",2002-00387,18/10/2002,"2002",SON,Oct-2002,"70702",Santa Cruz,Cordillera,Charagua,"Muchiri, Espino Integrado, San Isidro, Machido, Isoso Alto 10 Com., Isoso Bajo y San Antonio","7","5600","1120",0,0,NaN,32186,"5",Chaco
"387",2002-00388,18/10/2002,"2002",SON,Oct-2002,"70704",Santa Cruz,Cordillera,Cuevo,"Alto Parapeti, Mandiyuti, El Arenal, Timborenda, Kapirenda, Tartagalito, Ivicuati, Salinas","8","3340","668",0,0,NaN,5052,"5",Chaco
"388",2002-00389,22/10/2002,"2002",SON,Oct-2002,"10101",Chuquisaca,Oropeza,Sucre,Kaspi Cancha,"1","4095","819",0,0,NaN,261201,"2",Valles
"389",2002-00390,22/10/2002,"2002",SON,Oct-2002,"30101",Cochabamba,Cercado,Cochabamba,Cercado,"1","1530","306",0,0,NaN,632013,"2",Valles
"392",2002-00393,29/10/2002,"2002",SON,Oct-2002,"70707",Santa Cruz,Cordillera,Boyuibe,"Camantindi, Pozo del Monte, Yuquereti, Taquiperenda, Taquarandi, Choroquetal, Chañaral, Pailón","8","1175","235",0,0,NaN,5087,"5",Chaco
"393",2002-00394,29/10/2002,"2002",SON,Oct-2002,"70703",Santa Cruz,Cordillera,Cabezas,Varias,"-1","5000","1000",0,0,NaN,26434,"5",Chaco
"394",2002-00395,29/10/2002,"2002",SON,Oct-2002,"70706",Santa Cruz,Cordillera,Camiri,Varias,"-1","1000","200",0,0,NaN,33838,"5",Chaco
"395",2002-00396,29/10/2002,"2002",SON,Oct-2002,"70705",Santa Cruz,Cordillera,Gutiérrez,Varias,"-1","4000","800",0,0,NaN,12273,"5",Chaco
"396",2002-00397,29/10/2002,"2002",SON,Oct-2002,"70502",Santa Cruz,Chiquitos,Pailón,"Cañada Larga, Tres Cruces, Pozo del Tigre, Tunas, Motacusito","5","950","190",0,0,NaN,37866,"4",Chiquitania
"397",2002-00398,29/10/2002,"2002",SON,Oct-2002,"70503",Santa Cruz,Chiquitos,Roboré,"Cupesi, Stgo. De Chiquitos, El Jordán, Chochis, El Salvador, Gabetita, Motacusito, Naranjos, Limonsito, Los Sotos, Aguas Negras y Yobite","12","3820","764",0,0,NaN,15641,"4",Chiquitania
"398",2002-00399,29/10/2002,"2002",SON,Oct-2002,"70301",Santa Cruz,José Miguel de Velasco,San Ignacio de Velasco,"Candelaria, Recreo, San Bartolo, San Lucas, San Miguelito, Medio Monte, Encrucijada y Ascensión","8","1185","237",0,0,NaN,52362,"4",Chiquitania
"399",2002-00400,29/10/2002,"2002",SON,Oct-2002,"70501",Santa Cruz,Chiquitos,San José de Chiquitos,"Candelaria, Cruz Blanca, Dolores, El Portoncito, La Fortuna, La Fortuna II, Losiros, Motacusito, San José, Nuevo Horizonte, Pororo, Pozo del Cura, Quimone, Quituquiña, Ramada, S. Juan Del Norte, San Agustín, San Juan, San Seferino, Taperas y Taperitas","21","8675","1735",0,0,NaN,28922,"4",Chiquitania
"400",2002-00401,29/10/2002,"2002",SON,Oct-2002,"70302",Santa Cruz,José Miguel de Velasco,San Miguel de Velasco,"Cotoca, San Fermín, Altamira, Potrero Aguilar, Guapamocito y Tacoigo","6","1490","298",0,0,NaN,11327,"4",Chiquitania
"401",2002-00402,29/10/2002,"2002",SON,Oct-2002,"70303",Santa Cruz,José Miguel de Velasco,San Rafael,"Fátima, Cruz del Norte, Miraflores, La Colorada","4","875","175",0,0,NaN,6139,"4",Chiquitania
"416",2003-00011,15/01/2003,"2003",DJF,Jan-2003,"40201",Oruro,Eduardo Avaroa,Challapata,Huachacalla,"1","125","25",0,0,NaN,28304,"7",Altiplano
"423",2003-00018,17/01/2003,"2003",DJF,Jan-2003,"71401",Santa Cruz,Germán Busch,Puerto Suárez,Motacusito,"1","215","43",0,0,NaN,19829,"4",Chiquitania
"427",2003-00022,18/01/2003,"2003",DJF,Jan-2003,"50601",Potosi,Nor Chichas,Cotagaita,"Ramada, Ckara Ckara, Tapchiquira","3","1000","200",0,0,NaN,31801,"2",Valles
"456",2003-00051,25/01/2003,"2003",DJF,Jan-2003,"60303",Tarija,Gran Chaco,Villamontes,"Tiquipa, Tarairi","2","665","133",0,0,NaN,39867,"5",Chaco
"460",2003-00055,29/01/2003,"2003",DJF,Jan-2003,"70901",Santa Cruz,Florida,Samaipata,Samaipata,"1","650","130",0,0,NaN,10472,"2",Valles
"526",2003-00124,14/03/2003,"2003",MAM,mar-03,"60101",Tarija,Cercado,Tarija,San Agustin Sud,"1","280","56",0,0,NaN,205375,"2",Valles
"542",2003-00140,31/03/2003,"2003",MAM,mar-03,"30201",Cochabamba,Narciso Campero,Aiquile,Varias,"-1","8035","1607",0,0,NaN,23267,"2",Valles
"543",2003-00141,31/03/2003,"2003",MAM,mar-03,"30601",Cochabamba,Arque,Arque,Chapapari Grande,"1","480","96",0,0,NaN,10597,"2",Valles
"546",2003-00144,31/03/2003,"2003",MAM,mar-03,"30701",Cochabamba,Capinota,Capinota,Varias,"-1","3135","627",0,0,NaN,19477,"2",Valles
"552",2003-00150,31/03/2003,"2003",MAM,mar-03,"31301",Cochabamba,Mizque,Mizque,Varias,"-1","4925","985",0,0,NaN,26900,"2",Valles
"554",2003-00152,31/03/2003,"2003",MAM,mar-03,"30203",Cochabamba,Narciso Campero,Omereque,Varias,"-1","865","173",0,0,NaN,5643,"2",Valles
"555",2003-00153,31/03/2003,"2003",MAM,mar-03,"30202",Cochabamba,Narciso Campero,Pasorapa,Varias,"-1","1285","257",0,0,NaN,6853,"2",Valles
"560",2003-00158,31/03/2003,"2003",MAM,mar-03,"30901",Cochabamba,Quillacollo,Quillacollo,Varias comunidades,"-1","1695","339",0,0,NaN,137182,"2",Valles
"562",2003-00160,31/03/2003,"2003",MAM,mar-03,"31101",Cochabamba,Tapacari,Tapacari,Varias comunidades,"-1","4530","906",0,0,NaN,24625,"2",Valles
"573",2003-00171,26/04/2003,"2003",MAM,apr-03,"51001",Potosi,Sud Lipez,San Pablo de Lipez,Quetena Chico y Quetena Grande,"2","750","150",0,0,NaN,3371,"7",Altiplano
"574",2003-00172,10/06/2003,"2003",JJA,Jun-2003,"50801",Potosi,Sud Chichas,Tupiza,Varias comunidades,"-1","2455","491",0,0,NaN,44814,"2",Valles
"584",2003-00182,18/08/2003,"2003",JJA,Aug-2003,"50102",Potosi,Tomás Frías,Tinquipaya,"Caimuma, Ferirroco, Cienegoma, Jachacahua, Targuta Huayco Mayo","6","0","0",0,0,NaN,27200,"2",Valles
"595",2003-00193,22/09/2003,"2003",SON,Sep-2003,"40902",Oruro,Atahuallpa Sabaya,Coipasa,Coipas,"1","0","0",0,0,NaN,903,"7",Altiplano
"600",2003-00198,02/10/2003,"2003",SON,Oct-2003,"50901",Potosi,Nor Lipez,"Colcha ""K""","Colcha K, V.Candelaria, Atulcha, Agencha, Llavica, Aguaquiza, S. De Chuvica, Santiago K, S. Juan, Villa Mar, Zoniquera, Vilama, Culpina K, S.P. Quemes y Pelcoya","15","4125","825",0,0,NaN,12997,"7",Altiplano
"635",2004-00010,02/01/2004,"2004",DJF,Jan-2004,"41601",Oruro,Nor Carangas,Huayllamarca,Piña Piñani,"1","200","40",0,0,NaN,5502,"7",Altiplano
