Data;Thermometer
01/03/20 03:32;10.8
01/03/20 03:33;10.8
01/03/20 03:34;10.7
01/03/20 03:35;10.7
01/03/20 03:36;10.7
01/03/20 03:37;10.6
01/03/20 03:38;10.5
01/03/20 03:39;10.5
01/03/20 03:40;10.6
01/03/20 03:41;10.6
01/03/20 03:42;10.6
01/03/20 03:43;10.6
01/03/20 03:44;10.5
01/03/20 03:45;10.5
01/03/20 03:46;10.5
01/03/20 03:47;10.4
01/03/20 03:48;10.5
01/03/20 03:49;10.5
01/03/20 03:50;10.5
01/03/20 03:51;10.5
01/03/20 03:52;10.4
01/03/20 03:53;10.4
01/03/20 03:54;10.3
01/03/20 03:55;10.3
01/03/20 03:56;10.3
01/03/20 03:57;10.3
01/03/20 03:58;10.2
01/03/20 03:59;10.2
01/03/20 04:00;10.2
01/03/20 04:01;10.2
01/03/20 04:02;10.2
01/03/20 04:03;10.2
01/03/20 04:04;10.2
01/03/20 04:05;10.1
01/03/20 04:06;10.2
01/03/20 04:07;10.2
01/03/20 04:08;10.1
01/03/20 04:09;10
01/03/20 04:10;9.9
01/03/20 04:11;9.9
01/03/20 04:12;9.9
01/03/20 04:13;9.8
01/03/20 04:14;9.8
01/03/20 04:15;9.8
01/03/20 04:16;9.8
01/03/20 04:17;9.9
01/03/20 04:18;9.9
01/03/20 04:19;9.9
01/03/20 04:20;9.9
01/03/20 04:21;9.8
01/03/20 04:22;9.8
01/03/20 04:23;9.7
01/03/20 04:24;9.7
01/03/20 04:25;9.7
01/03/20 04:26;9.7
01/03/20 04:27;9.7
01/03/20 04:28;9.7
01/03/20 04:29;9.6
01/03/20 04:30;9.6
01/03/20 04:31;9.6
01/03/20 04:32;9.6
01/03/20 04:33;9.6
01/03/20 04:34;9.5
01/03/20 04:35;9.5
01/03/20 04:36;9.5
01/03/20 04:37;9.4
01/03/20 04:38;9.4
01/03/20 04:39;9.4
01/03/20 04:40;9.4
01/03/20 04:41;9.4
01/03/20 04:42;9.4
01/03/20 04:43;9.4
01/03/20 04:44;9.3
01/03/20 04:45;9.3
01/03/20 04:46;9.2
01/03/20 04:47;9.2
01/03/20 04:48;9.2
01/03/20 04:49;9.2
01/03/20 04:50;9.3
01/03/20 04:51;9.2
01/03/20 04:52;9.3
01/03/20 04:53;9.2
01/03/20 04:54;9.2
01/03/20 04:55;9.2
01/03/20 04:56;9.2
01/03/20 04:57;9.2
01/03/20 04:58;9.1
01/03/20 04:59;9.1
01/03/20 05:00;9.1
01/03/20 05:01;9.1
01/03/20 05:02;9.1
01/03/20 05:03;9.1
01/03/20 05:04;9
01/03/20 05:05;9.1
01/03/20 05:06;9.1
01/03/20 05:07;9.1
01/03/20 05:08;9
01/03/20 05:09;9
01/03/20 05:10;9
01/03/20 05:11;9
01/03/20 05:12;9
01/03/20 05:13;9.1
01/03/20 05:14;9.1
01/03/20 05:15;9.1
01/03/20 05:16;9
01/03/20 05:17;9
01/03/20 05:18;9
01/03/20 05:19;9
01/03/20 05:20;9
01/03/20 05:21;9
01/03/20 05:22;9
01/03/20 05:23;9
01/03/20 05:24;9
01/03/20 05:25;9
01/03/20 05:26;9
01/03/20 05:27;9
01/03/20 05:28;9
01/03/20 05:29;9
01/03/20 05:30;9
01/03/20 05:31;9
01/03/20 05:32;9
01/03/20 05:33;9
01/03/20 05:34;9
01/03/20 05:35;9
01/03/20 05:36;9
01/03/20 05:37;9
01/03/20 05:38;9
01/03/20 05:39;9
01/03/20 05:40;8.9
01/03/20 05:41;9
01/03/20 05:42;9
01/03/20 05:43;9
01/03/20 05:44;9
01/03/20 05:45;8.9
01/03/20 05:46;8.9
01/03/20 05:47;8.9
01/03/20 05:48;8.9
01/03/20 05:49;9
01/03/20 05:50;8.9
01/03/20 05:51;8.9
01/03/20 05:52;8.9
01/03/20 05:53;8.9
01/03/20 05:54;8.9
01/03/20 05:55;8.8
01/03/20 05:56;8.8
01/03/20 05:57;8.9
01/03/20 05:58;8.9
01/03/20 05:59;8.9
01/03/20 06:00;8.9
01/03/20 06:01;8.9
01/03/20 06:02;8.9
01/03/20 06:03;8.9
01/03/20 06:04;8.9
01/03/20 06:05;8.9
01/03/20 06:06;8.9
01/03/20 06:07;8.9
01/03/20 06:08;8.8
01/03/20 06:09;8.8
01/03/20 06:10;8.8
01/03/20 06:11;8.8
01/03/20 06:12;8.8
01/03/20 06:13;8.8
01/03/20 06:14;8.8
01/03/20 06:15;8.8
01/03/20 06:16;8.8
01/03/20 06:17;8.8
01/03/20 06:18;8.8
01/03/20 06:19;8.9
01/03/20 06:20;8.9
01/03/20 06:21;9
01/03/20 06:22;9
01/03/20 06:23;8.9
01/03/20 06:24;8.9
01/03/20 06:25;8.9
01/03/20 06:26;8.9
01/03/20 06:27;8.9
01/03/20 06:28;8.9
01/03/20 06:29;8.9
01/03/20 06:30;9
01/03/20 06:31;9
01/03/20 06:32;9
01/03/20 06:33;9
01/03/20 06:34;9
01/03/20 06:35;8.9
01/03/20 06:36;8.9
01/03/20 06:37;8.8
01/03/20 06:38;8.8
01/03/20 06:39;8.8
01/03/20 06:40;8.8
01/03/20 06:41;8.8
01/03/20 06:42;8.8
01/03/20 06:43;8.8
01/03/20 06:44;8.8
01/03/20 06:45;8.8
01/03/20 06:46;8.8
01/03/20 06:47;8.8
01/03/20 06:48;8.8
01/03/20 06:49;8.8
01/03/20 06:50;8.9
01/03/20 06:51;8.8
01/03/20 06:52;8.9
01/03/20 06:53;8.8
01/03/20 06:54;8.9
01/03/20 06:55;8.9
01/03/20 06:56;9
01/03/20 06:57;8.9
01/03/20 06:58;9
01/03/20 06:59;9
01/03/20 07:00;9
01/03/20 07:01;9
01/03/20 07:02;9.1
01/03/20 07:03;9.1
01/03/20 07:04;9.1
01/03/20 07:05;9.1
01/03/20 07:06;9.1
01/03/20 07:07;9.1
01/03/20 07:08;9.1
01/03/20 07:09;9.1
01/03/20 07:10;9.1
01/03/20 07:11;9.1
01/03/20 07:12;9
01/03/20 07:13;9
01/03/20 07:14;9
01/03/20 07:15;9
01/03/20 07:16;9
01/03/20 07:17;9
01/03/20 07:18;9
01/03/20 07:19;9
01/03/20 07:20;9
01/03/20 07:21;9
01/03/20 07:22;8.9
01/03/20 07:23;8.9
01/03/20 07:24;8.9
01/03/20 07:25;8.8
01/03/20 07:26;8.8
01/03/20 07:27;8.7
01/03/20 07:28;8.7
01/03/20 07:29;8.7
01/03/20 07:30;8.7
01/03/20 07:31;8.8
01/03/20 07:32;8.8
01/03/20 07:33;8.7
01/03/20 07:34;8.7
01/03/20 07:35;8.7
01/03/20 07:36;8.6
01/03/20 07:37;8.6
01/03/20 07:38;8.6
01/03/20 07:39;8.6
01/03/20 07:40;8.6
01/03/20 07:41;8.6
01/03/20 07:42;8.6
01/03/20 07:43;8.6
01/03/20 07:44;8.6
01/03/20 07:45;8.6
01/03/20 07:46;8.6
01/03/20 07:47;8.6
01/03/20 07:48;8.5
01/03/20 07:49;8.6
01/03/20 07:50;8.5
01/03/20 07:51;8.6
01/03/20 07:52;8.5
01/03/20 07:53;8.5
01/03/20 07:54;8.5
01/03/20 07:55;8.5
01/03/20 07:56;8.4
01/03/20 07:57;8.5
01/03/20 07:58;8.4
01/03/20 07:59;8.4
01/03/20 08:00;8.4
01/03/20 08:01;8.4
01/03/20 08:02;8.4
01/03/20 08:03;8.4
01/03/20 08:04;8.4
01/03/20 08:05;8.4
01/03/20 08:06;8.4
01/03/20 08:07;8.4
01/03/20 08:08;8.4
01/03/20 08:09;8.4
01/03/20 08:10;8.4
01/03/20 08:11;8.4
01/03/20 08:12;8.3
01/03/20 08:13;8.3
01/03/20 08:14;8.3
01/03/20 08:15;8.3
01/03/20 08:16;8.3
01/03/20 08:17;8.4
01/03/20 08:18;8.3
01/03/20 08:19;8.3
01/03/20 08:20;8.3
01/03/20 08:21;8.3
01/03/20 08:22;8.3
01/03/20 08:23;8.3
01/03/20 08:24;8.2
01/03/20 08:25;8.2
01/03/20 08:26;8.2
01/03/20 08:27;8.2
01/03/20 08:28;8.2
01/03/20 08:29;8.1
01/03/20 08:30;8.2
01/03/20 08:31;8.2
01/03/20 08:32;8.2
01/03/20 08:33;8.2
01/03/20 08:34;8.2
01/03/20 08:35;8.2
01/03/20 08:36;8.2
01/03/20 08:37;8.2
01/03/20 08:38;8.2
01/03/20 08:39;8.2
01/03/20 08:40;8.2
01/03/20 08:41;8.2
01/03/20 08:42;8.2
01/03/20 08:43;8.2
01/03/20 08:44;8.3
01/03/20 08:45;8.3
01/03/20 08:46;8.3
01/03/20 08:47;8.3
01/03/20 08:48;8.4
01/03/20 08:49;8.4
01/03/20 08:50;8.4
01/03/20 08:51;8.3
01/03/20 08:52;8.3
01/03/20 08:53;8.4
01/03/20 08:54;8.4
01/03/20 08:55;8.4
01/03/20 08:56;8.4
01/03/20 08:57;8.4
01/03/20 08:58;8.5
01/03/20 08:59;8.5
01/03/20 09:00;8.4
01/03/20 09:01;8.4
01/03/20 09:02;8.4
01/03/20 09:03;8.4
01/03/20 09:04;8.3
01/03/20 09:05;8.3
01/03/20 09:06;8.3
01/03/20 09:07;8.3
01/03/20 09:08;8.3
01/03/20 09:09;8.3
01/03/20 09:10;8.3
01/03/20 09:11;8.3
01/03/20 09:12;8.3
01/03/20 09:13;8.3
01/03/20 09:14;8.3
01/03/20 09:15;8.3
01/03/20 09:16;8.3
01/03/20 09:17;8.3
01/03/20 09:18;8.3
01/03/20 09:19;8.3
01/03/20 09:20;8.3
01/03/20 09:21;8.3
01/03/20 09:22;8.3
01/03/20 09:23;8.3
01/03/20 09:24;8.3
01/03/20 09:25;8.4
01/03/20 09:26;8.4
01/03/20 09:27;8.5
01/03/20 09:28;8.4
01/03/20 09:29;8.4
01/03/20 09:30;8.4
01/03/20 09:31;8.4
01/03/20 09:32;8.5
01/03/20 09:33;8.3
01/03/20 09:34;8.3
01/03/20 09:35;8.3
01/03/20 09:36;8.3
01/03/20 09:37;8.3
01/03/20 09:38;8.3
01/03/20 09:39;8.3
01/03/20 09:40;8.3
01/03/20 09:41;8.3
01/03/20 09:42;8.3
01/03/20 09:43;8.3
01/03/20 09:44;8.3
01/03/20 09:45;8.4
01/03/20 09:46;8.4
01/03/20 09:47;8.4
01/03/20 09:48;8.4
01/03/20 09:49;8.3
